1 71.9 53.96
2 137 56.76
3 245 63.46
4 244 63.53
5 364 73.11
6 390 74.07
7 412 75.33
8 413 75.15
9 533 90.51
10 554 91.68
11 571 93.17
12 590 93.89
13 607 95.16
14 621 96.24
15 640 96.93
16 640 96.76
17 723 128.71
18 740 129.40
19 753 130.94
20 762 132.17
21 771 133.63
22 780 135.20
23 762 141.70
24 785 140.00
25 795 140.44
26 805 141.85
27 805 143.77
28 805 147.05
29 815 147.80
30 815 149.68
31 810 153.02
32 815 152.09
33 837 226.59
34 842 226.64
35 842 230.03
36 842 232.25
37 837 235.80
38 848 234.85
39 848 237.34
40 848 240.34
41 848 241.67
42 848 244.93
43 848 246.27
44 848 248.60
45 848 251.74
46 848 252.96
47 842 257.35
48 853 257.08
49 848 260.55
50 848 262.93
51 842 266.29
52 848 267.19
53 842 271.30
54 837 275.51
55 848 274.81
56 848 275.65
57 848 278.96
58 848 280.88
59 837 286.96
60 848 285.84
61 831 293.40
62 831 295.89
63 842 294.74
64 831 297.48
65 848 442.74
66 848 446.51
67 853 446.39
68 853 447.40
69 848 451.59
70 853 451.54
71 848 456.02
72 853 457.00
73 842 463.62
74 848 463.58
75 848 467.27
76 853 465.85
77 848 471.13
78 848 473.16
79 853 473.47
80 842 479.75
81 848 480.27
82 848 481.54
83 848 483.39
84 853 482.29
85 848 488.62
86 848 491.53
87 853 491.56
88 842 497.58
89 853 494.87
90 853 497.85
91 848 501.23
92 853 503.18
93 848 506.71
94 821 527.00
95 848 511.94
96 848 514.53
97 848 515.46
98 848 517.70
99 848 521.19
100 853 519.43
101 842 529.68
102 831 536.69
103 848 528.17
104 842 537.06
105 842 535.88
106 842 540.00
107 848 539.00
108 853 538.44
109 853 541.70
110 848 545.31
